$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
1.69666,-0.00693,-0.14502,1.06503,1.61272,-0.37827,-0.24399,2.37494,1.32546,-1.20754,2.38443,1.7981,0.42731,-0.41904,-1.42637,0.99189,0.52672,1.04694,-0.1658,-0.15026,0
2.59664,-0.79148,-0.14502,0.9457,1.21182,2.95532,1.21997,-0.15945,4.04482,-0.85561,0.19874,1.7981,0.07017,-0.84193,-1.17816,-0.52611,-0.44585,-0.18303,0.97565,0.35291,0
-0.5533,-0.79148,-0.14502,-0.60562,-0.54597,-0.35426,-0.39039,-0.58185,-0.5237,0.81481,-0.34508,-0.64707,-0.28698,-0.84193,1.02492,-0.52611,-0.44585,-0.37333,-0.27995,-0.20011,0
-0.5533,-0.79148,-0.14502,-0.60562,-0.54597,-0.35426,-0.39039,-0.58185,-0.5237,0.81481,-0.34508,-0.64707,-0.28698,-0.84193,-0.01524,-0.52611,-0.44585,-0.37333,-0.27995,-0.20011,0
2.22165,-0.00693,-0.14502,0.70704,1.64356,0.74226,-0.0976,1.31895,2.8483,-0.85524,0.80971,1.7981,3.28446,0.30592,-0.81983,0.99189,1.82348,0.10964,-0.05166,-0.03468,0
0.42168,-0.79148,0.17388,-0.60562,0.4717,0.16599,-0.39039,-0.58185,0.78159,0.81481,-0.10863,-0.64707,-0.28698,-0.84193,-0.81066,-0.52611,-0.44585,-0.13637,-0.27995,-0.24997,0
-0.7033,-0.79148,-0.14502,-0.36695,-0.60765,-0.37427,-0.24399,-0.37065,-0.74125,0.81481,-0.34697,-0.64707,-0.28698,-0.84193,1.02492,-0.52611,-0.44585,-0.37333,-0.27995,-0.20011,0
-0.7033,-0.79148,-0.14502,-0.60562,-0.60765,-0.37427,-0.39039,-0.58185,-0.74125,0.81481,-0.34697,-0.64707,-0.28698,-0.84193,1.02492,-0.52611,-0.44585,-0.37333,-0.27995,-0.20011,0
-0.5533,-0.79148,-0.14502,-0.36695,-0.54597,-0.35426,-0.24399,-0.37065,-0.5237,0.81481,-0.34508,-0.64707,-0.28698,-0.84193,1.02492,-0.52611,-0.44585,-0.37333,-0.27995,-0.20011,0
-0.6283,-0.79148,-0.14502,-0.60562,-0.51513,-0.37427,-0.39039,-0.58185,-0.74125,-1.47073,-0.33562,-0.64707,-0.28698,-0.84193,-0.01524,-0.52611,-0.44585,-0.31667,-0.27995,-0.76543,1
