$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
-0.6744,-1.08886,-0.1525,-0.03977,-0.4545,-0.24635,-0.18045,0.57594,-0.78982,0.14009,-0.42292,-1.4728,-0.50937,-1.27995,-0.11642,-0.76819,-0.56316,0.11732,-0.58505,-0.79368,0
-0.50728,-0.37351,-0.1525,-0.26769,-0.59339,-0.25492,-0.18045,-0.30912,-0.4681,-0.62778,-0.49581,0.81112,0.19207,0.47695,0.09746,-0.76819,-0.56316,-0.13311,-0.58505,-0.86938,0
-0.84151,-0.37351,-0.1525,-0.38164,-0.87116,-0.25492,-0.21921,-0.84015,-0.78982,1.59499,-0.66345,-1.4728,-0.50937,1.22991,2.02234,-0.76819,-0.56316,-0.2293,-0.74447,-1.55031,0
-0.25661,-1.08886,1.72362,0.07419,-0.39895,-0.22061,0.12967,-0.30912,-0.03915,-0.34488,-0.43507,-1.01601,0.19207,-1.27995,-0.26346,-0.76819,-0.56316,-0.16431,-0.58505,-0.55729,0
-0.17306,0.34183,-0.1525,-0.2297,-0.23228,-0.20917,-0.21921,-0.1321,-0.14639,-0.42571,-0.23098,0.81112,-0.50937,0.72794,-0.3303,-0.76819,-0.56316,-0.06032,-0.42563,-0.41543,1
-0.6744,-0.37351,0.88979,-0.15373,-0.84338,-0.25206,0.01337,-0.84015,-0.68258,-0.82985,-0.64158,0.81112,-0.50937,0.60245,0.31133,-0.76819,-0.56316,-0.25529,-0.58505,-0.79368,0
0.74607,-1.08886,-0.1525,-0.26769,0.1566,0.11682,-0.21921,-0.30912,1.03323,-0.44698,0.15775,0.81112,0.19207,-1.27995,-0.73328,-0.76819,-0.56316,-0.10062,-0.2662,-0.2452,1
0.16117,-1.08886,-0.1525,-0.15373,-0.17673,-0.19773,-0.14169,-0.1321,0.3898,-0.32948,-0.23584,0.81112,0.89352,-1.27995,-0.6725,-0.76819,-0.56316,-0.14431,0.37149,0.02105,0
-0.17306,-1.08886,-0.1525,-0.2297,-0.42672,-0.23205,-0.06416,-0.84015,0.06809,-0.77933,-0.39133,0.81112,-0.50937,-1.27995,0.16875,-0.76819,-0.56316,-0.1542,-0.2662,0.08891,0
-0.34017,1.77252,-0.1525,-0.07776,-0.26006,-0.25492,0.01337,-0.48613,-0.14639,-0.56042,-0.06091,-1.4728,-0.50937,0.88766,-0.50751,1.36329,1.58181,0.14579,0.69033,2.01652,0
