$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
-0.4606,2.58465,-0.27509,-0.43091,-0.53873,-0.21366,-0.20003,-0.78546,-0.10259,1.6257,-0.32962,-0.44383,-0.66085,1.68444,-0.36783,1.01465,1.52097,0.19967,-0.10108,-0.39309,0
-0.81694,-0.64616,-0.27509,-0.76588,-1.05454,-0.29034,-0.439,-1.10582,-0.52872,1.6257,-0.83529,-0.44383,-0.66085,-0.7483,0.27469,-0.57811,-0.47253,-1.02793,-0.70759,-0.96802,0
0.25208,-0.64616,-0.27509,-0.09594,0.03439,-0.30567,-0.08054,-0.14475,0.74968,-1.38419,0.08905,3.1957,-0.66085,-0.7483,-0.14696,-0.57811,-0.47253,0.0374,0.50542,2.0504,0
0.25208,0.43077,0.63069,0.01571,0.14901,-0.12166,-0.31952,0.81631,0.74968,-0.09792,0.10536,1.57813,-0.66085,0.61245,-0.47492,-0.57811,-0.47253,0.00212,1.11192,1.04426,0
0.60841,-0.64616,4.25379,3.03046,-0.48142,0.38439,3.38458,-0.46511,0.96275,0.00499,-0.71567,-0.44383,-0.66085,-0.7483,-0.14176,-0.57811,-0.47253,-1.05051,-0.70759,-0.62306,0
0.96475,0.43077,-0.27509,0.35069,0.77944,0.06236,-0.439,2.09773,1.38889,-0.00452,2.0193,-0.20902,1.00671,0.95264,-0.325,2.60741,2.18547,1.15447,5.96396,4.30221,1
-0.81694,-0.64616,-0.27509,-0.31926,-0.99722,-0.29034,-0.31952,-0.14475,-0.74179,1.6257,-0.81355,-0.44383,-0.66085,-0.7483,1.39911,-0.57811,-0.47253,-0.91505,-0.70759,-0.96802,0
-0.28243,-0.64616,-0.27509,-0.65423,-0.42411,-0.18299,-0.439,-0.78546,-0.52872,-0.1976,-0.62324,-0.44383,0.17293,-0.7483,-0.47492,-0.57811,-0.47253,-0.71186,-0.70759,-0.85304,0
-0.81694,0.43077,-0.27509,-0.31926,-0.59604,-0.30567,-0.31952,-0.14475,-0.74179,-1.61572,-0.50362,-0.44383,1.00671,1.76196,1.0243,-0.57811,-0.47253,0.63709,0.50542,1.33173,0
-0.63877,-0.64616,-0.27509,-0.76588,-0.42411,-0.25967,-0.439,-1.10582,-0.52872,1.6257,-0.14475,-0.44383,-0.66085,-0.7483,-0.47492,-0.57811,-0.47253,1.30498,0.20217,0.37354,0
