$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
-0.58044,-0.67101,-0.25597,-0.49699,-0.59545,-0.1217,-0.41351,-0.14444,-0.63152,1.48924,-0.38154,-1.40926,-0.57931,-0.79353,2.14228,-0.5439,-0.46148,-0.5135,-0.80663,-1.64167,0
-0.22068,1.54424,-0.25597,-0.63388,-0.22916,-0.10604,-0.41351,-0.52695,-0.12827,1.48924,-0.28221,-1.40926,-0.57931,1.53649,0.31856,1.88352,0.85469,-0.32553,-0.28893,-0.22393,0
-0.22068,-0.67101,-0.25597,-0.36011,0.03538,-0.10753,-0.24109,-0.52695,-0.27206,-0.5327,-0.10563,-1.40926,-0.57931,-0.79353,-0.22181,-0.5439,-0.46148,0.20946,-0.54778,-0.62898,1
0.97851,3.02107,-0.25597,0.18744,0.72726,0.08192,-0.41351,-0.52695,0.80633,-0.43549,0.37365,0.0477,-0.57931,1.32208,-1.49579,4.31093,3.48702,-0.05241,1.26419,0.98385,0
-0.58044,0.80582,-0.25597,-0.42855,-0.59545,-0.1217,-0.41351,-0.01693,-0.55963,1.48924,-0.37365,-1.40926,-0.57931,1.76567,2.14228,-0.5439,-0.46148,-0.37855,-0.80663,-1.64167,0
-0.3406,-0.67101,-0.25597,-0.22322,-0.45301,-0.11573,-0.15489,-0.01693,-0.41584,-0.40633,-0.34212,0.77618,0.37695,-0.79353,0.0146,-0.5439,-0.46148,-0.45952,-0.28893,-0.50748,0
0.43888,0.06741,-0.25597,0.94031,1.09355,-0.0225,-0.3273,-0.52695,-0.20016,-0.35854,0.50766,0.77618,0.37695,-0.09557,-0.77806,0.66981,1.51277,0.40306,2.04075,1.27264,0
-0.3406,-0.67101,-0.25597,-0.42855,-0.45301,-0.11573,-0.41351,-0.01693,-0.41584,-0.40633,-0.34212,0.77618,0.37695,-0.79353,0.0146,-0.5439,-0.46148,-0.45952,-0.28893,-0.50748,0
-0.52048,0.80582,-0.25597,-0.42855,-0.5344,-0.1217,-0.41351,-0.01693,-0.48773,-0.02722,-0.35316,-0.31654,0.37695,1.59506,0.54652,-0.5439,-0.46148,-0.31107,-0.54778,-0.9328,0
0.07912,-0.67101,-0.25597,-0.56544,-0.14776,-0.1217,-0.41351,-0.14444,0.1593,-1.08414,-0.03784,0.77618,0.37695,-0.79353,-0.76555,-0.5439,-0.46148,-0.04117,-0.28893,-0.22393,0
0.13908,-0.67101,-0.25597,-0.15478,0.40167,-0.1038,0.10373,-0.14444,0.23119,-0.55798,0.08041,0.77618,-0.57931,-0.79353,-0.64007,-0.5439,-0.46148,0.10936,0.22878,0.97576,0
-0.58044,-0.67101,-0.25597,-0.49699,-0.6158,-0.1217,-0.3273,-0.52695,-0.55963,1.48924,-0.38627,-1.40926,-0.57931,-0.79353,2.14228,-0.5439,-0.46148,-0.61472,-0.54778,-0.22393,0
0.55879,0.06741,-0.25597,0.52965,1.0732,-0.05606,-0.41351,-0.52695,0.37497,-0.45289,0.69213,0.77618,-0.57931,0.92731,-1.40385,0.66981,1.51277,0.50202,0.48763,0.83938,0
-0.46052,-0.67101,1.69209,-0.49699,-0.55475,-0.12095,-0.24109,-0.39945,-0.48773,-1.54367,-0.36262,0.77618,-0.57931,-0.79353,0.72383,-0.5439,-0.46148,-0.47976,-0.54778,-0.69646,0
-0.46052,0.06741,-0.25597,-0.56544,-0.45301,-0.11946,-0.41351,-0.52695,-0.41584,1.48924,-0.34527,-1.40926,-0.57931,1.19696,1.43305,0.66981,0.19661,-0.34481,-0.54778,-0.69646,0
0.73867,-0.67101,-0.25597,0.32432,0.8697,0.00584,0.10373,1.00312,0.95011,-0.28762,0.57388,0.77618,1.33321,-0.79353,-1.48402,-0.5439,-0.46148,0.23314,0.22878,0.94727,0
0.55879,-0.67101,2.99079,0.18744,0.25922,-0.03816,0.10373,0.36559,0.0874,-0.61252,0.01419,0.77618,0.37695,-0.79353,-1.35872,-0.5439,-0.46148,-0.22335,-0.03007,0.05962,1
0.13908,1.54424,-0.25597,-0.56544,0.05573,-0.07098,-0.49971,-0.14444,0.23119,-0.27996,-0.08671,0.77618,-0.57931,1.34498,-0.03995,-0.5439,-0.46148,-0.16574,-0.03007,-0.11491,0
-0.16072,0.06741,-0.25597,0.05055,-0.04602,-0.10231,-0.24109,-0.52695,-0.20016,-0.46049,-0.23176,0.77618,0.37695,-0.42793,-1.0999,0.66981,0.19661,-0.23516,-0.54778,-0.57837,1
-0.52048,0.80582,-0.25597,-0.56544,-0.5344,-0.1217,-0.41351,-0.27194,-0.55963,-1.54367,-0.36419,0.77618,-0.57931,1.76567,2.14228,-0.5439,-0.46148,-0.41229,-0.80663,-1.64167,0
-0.58044,-0.67101,-0.25597,-0.36011,-0.6158,-0.1217,-0.06868,-0.39945,-0.55963,1.48924,-0.38627,-1.40926,-0.57931,-0.79353,2.14228,-0.5439,-0.46148,-0.61472,-0.54778,-0.22393,0
-0.46052,-0.67101,-0.25597,-0.01789,0.17782,-0.12095,-0.41351,-0.52695,-0.41584,-1.54367,-0.0536,0.77618,-0.57931,-0.79353,-0.34001,-0.5439,-0.46148,1.72447,0.22878,0.72128,0
-0.10076,-0.67101,-0.25597,0.32432,0.23887,-0.09485,-0.15489,1.25813,0.01551,1.48924,-0.16239,-1.40926,-0.57931,-0.79353,-1.33938,-0.5439,-0.46148,-0.11239,-0.03007,0.72128,0
-0.3406,0.06741,-0.25597,-0.42855,-0.35126,-0.11424,-0.41351,-0.52695,-0.27206,1.48924,-0.32005,-1.40926,-0.57931,0.83505,0.72383,1.88352,0.85469,-0.35831,-0.28893,0.05962,0
-0.22068,0.06741,-0.25597,-0.42855,-0.26986,-0.1217,-0.41351,-0.52695,-0.12827,-1.54367,-0.19077,0.77618,-0.57931,0.5845,-0.13738,0.66981,0.19661,-0.05081,-0.03007,0.99122,1
0.43888,1.54424,2.99079,1.21409,1.31739,-0.0583,-0.06868,-0.52695,0.23119,-0.65164,0.6669,0.77618,0.37695,1.41196,-1.23697,3.09722,4.1451,0.60174,1.7819,1.35132,1
1.45819,1.54424,-0.25597,-0.01789,0.9511,0.20573,-0.3273,0.7481,1.88471,-0.16381,0.50136,0.77618,-0.57931,0.84975,-0.53252,3.09722,2.17085,-0.12021,-0.03007,-0.18338,1
-0.52048,1.54424,-0.25597,-0.49699,-0.55475,-0.1217,-0.3273,-0.27194,-0.48773,-1.54367,-0.36577,0.77618,0.37695,1.62349,1.07844,-0.5439,-0.46148,-0.42916,-0.54778,-0.9328,0
-0.52048,-0.67101,-0.25597,-0.49699,-0.59545,-0.12095,-0.15489,-0.39945,-0.48773,1.48924,-0.38154,-1.40926,-0.57931,-0.79353,0.72383,-0.5439,-0.46148,-0.61472,-0.54778,-0.22393,0
-0.46052,0.06741,1.69209,-0.29166,-0.47335,-0.12095,-0.24109,-0.01693,-0.48773,-0.78545,-0.3437,0.77618,0.37695,1.40007,0.36921,-0.5439,-0.46148,-0.34481,-0.54778,-0.69646,0
-0.0408,-0.67101,-0.25597,1.00876,1.62263,-0.08813,-0.06868,2.40568,0.01551,1.48924,1.12096,-1.40926,-0.57931,-0.79353,-0.83647,-0.5439,-0.46148,2.5803,5.6647,3.60398,0
-0.58044,-0.67101,-0.25597,-0.36011,-0.6158,-0.1217,0.01753,-0.39945,-0.55963,1.48924,-0.38627,-1.40926,-0.57931,-0.79353,2.14228,-0.5439,-0.46148,-0.61472,-0.54778,-0.22393,0
-0.0408,0.06741,-0.25597,-0.29166,-0.02567,-0.10305,-0.3273,0.23808,-0.05638,-0.75736,-0.08987,0.77618,0.37695,1.00739,0.22737,0.66981,0.85469,-0.02092,-0.28893,-0.3657,0
0.55879,0.06741,-0.25597,-0.29166,-0.04602,-0.00684,-0.15489,-0.01693,0.30308,-0.07663,-0.05203,-0.47265,1.33321,0.26545,-1.12016,-0.5439,-0.46148,-0.32457,0.22878,-0.15304,0
-0.28064,-0.67101,-0.25597,-0.36011,-0.18846,-0.1217,-0.3273,0.11058,-0.27206,-0.83599,-0.24753,0.77618,-0.57931,-0.79353,0.22737,-0.5439,-0.46148,-0.16487,0.22878,0.01241,0
-0.28064,-0.67101,-0.25597,-0.63388,-0.45301,-0.11499,-0.41351,-0.52695,-0.20016,-0.93709,-0.32478,0.77618,-0.57931,-0.79353,0.72383,-0.5439,-0.46148,-0.42916,-0.28893,-0.22393,0
-0.46052,-0.67101,-0.25597,-0.08634,-0.55475,-0.12095,0.36235,-0.52695,-0.55963,-0.40633,-0.33739,-0.8629,2.28947,-0.79353,1.07844,-0.5439,-0.46148,-0.33357,-0.54778,-1.16914,0
0.07912,2.28266,-0.25597,-0.56544,-0.12742,-0.07247,-0.49971,-0.52695,0.23119,1.48924,-0.28221,-1.40926,-0.57931,1.55559,-0.1036,0.66981,0.19661,-0.46008,-0.54778,-0.34203,0
1.03847,-0.67101,-0.25597,0.5981,1.05285,0.15725,0.79339,-0.52695,1.16579,-0.0085,1.07208,-1.04502,-0.57931,-0.79353,-1.14993,-0.5439,-0.46148,0.45286,4.88814,1.85207,0
-0.46052,-0.67101,-0.25597,-0.70232,-0.55475,-0.12095,-0.41351,-0.52695,-0.41584,-0.78545,-0.36577,0.77618,-0.57931,-0.79353,0.72383,-0.5439,-0.46148,-0.50226,-0.54778,-0.69646,0
-0.22068,-0.67101,-0.25597,-0.36011,-0.12742,-0.11051,0.01753,-0.52695,-0.27206,-0.78545,1.51511,0.77618,-0.57931,-0.79353,-0.87193,-0.5439,-0.46148,5.16418,0.22878,1.80146,0
-0.0408,-0.67101,1.04274,-0.22322,-0.33091,-0.10007,-0.3273,0.23808,-0.05638,-0.36421,-0.28221,0.77618,0.37695,-0.79353,0.6529,-0.5439,-0.46148,-0.4359,-0.28893,-0.22393,0
-0.46052,-0.67101,-0.25597,-0.08634,-0.55475,-0.1217,0.36235,-0.39945,-0.41584,-0.78545,-0.35631,0.77618,0.37695,-0.79353,0.25101,-0.5439,-0.46148,-0.44603,-0.54778,-0.69646,0
-0.40056,0.06741,-0.25597,-0.36011,-0.43266,-0.11872,-0.41351,0.11058,-0.48773,-0.5327,-0.34527,0.77618,0.37695,0.48607,0.0146,-0.5439,-0.46148,-0.42916,-0.54778,-0.9328,0
-0.58044,0.80582,-0.25597,-0.56544,-0.59545,-0.1217,-0.41351,-0.14444,-0.55963,1.48924,-0.37365,-1.40926,-0.57931,1.76567,2.14228,-0.5439,-0.46148,-0.37855,-0.80663,-1.64167,0
0.67871,-0.67101,0.39338,0.73498,0.829,-0.03145,0.70718,0.6206,0.95011,-0.21291,0.35158,0.77618,0.37695,-0.79353,-1.40385,-0.5439,-0.46148,0.06005,1.26419,0.93607,0
-0.0408,-0.67101,-0.25597,-0.63388,-0.31056,-0.10454,-0.41351,-0.27194,0.01551,-0.78545,-0.2491,0.77618,0.37695,-0.79353,-0.26909,-0.5439,-0.46148,-0.3718,-0.28893,-0.22393,0
-0.3406,0.06741,-0.25597,-0.49699,-0.20881,-0.1217,-0.49971,-0.52695,-0.34395,-1.29093,-0.16081,0.77618,-0.57931,0.83505,0.15645,0.66981,0.19661,0.30296,0.48763,1.76091,0
