$wmc,$dit,$noc,$cbo,$rfc,$lcom,$ca,$ce,$npm,$lcom3,$loc,$dam,$moa,$mfa,$cam,$ic,$cbm,$amc,$max_cc,$avg_cc,<$bug
-0.40191,0.21816,-0.36962,0.67928,-0.22366,-0.15537,0.1868,1.56404,-0.32032,-0.28377,-0.34231,-1.03538,2.58361,0.51266,-0.13071,-0.75606,-0.59075,-0.31876,-0.13999,-0.07201,1
-0.02937,1.34202,-0.36962,0.18526,0.49169,-0.13954,-0.46034,1.07587,0.2627,-0.51702,-0.02589,0.09957,-0.58271,1.16463,-0.6519,2.10017,2.37756,0.15324,0.21788,0.08743,1
-0.02937,-0.9057,-0.36962,-0.55578,0.39839,-0.15537,-0.55279,-0.2259,0.2627,-0.91417,-0.02432,1.23452,-0.58271,-0.96909,-0.40434,-0.75606,-0.59075,0.1643,0.09859,0.24686,0
-0.47642,2.46588,-0.36962,-0.63811,-0.56579,-0.1418,-0.36789,-0.55134,-0.67013,1.64524,-0.43316,-1.03538,-0.58271,1.93884,0.32533,2.10017,0.8934,-0.64694,-0.13999,-0.03215,0
1.08827,0.21816,0.73276,0.76162,1.76689,0.20635,-0.09055,2.0522,0.1461,-0.1309,0.45971,0.8562,1.67895,1.30812,-1.05229,2.10017,3.367,-0.02524,-0.13999,-0.16766,1
-0.40191,-0.9057,1.28396,0.18526,-0.59689,-0.13276,0.3717,-0.38862,-0.78674,1.64524,-0.46136,-1.03538,-0.58271,-0.96909,0.78137,-0.75606,-0.59075,-0.82763,-0.37857,-0.39087,0
0.19416,-0.9057,-0.36962,0.18526,1.11374,-0.15537,-0.18299,0.58771,-0.78674,-0.1309,0.39235,-0.27875,0.77428,-0.96909,-1.13634,-0.75606,-0.59075,0.64792,-0.0207,-0.23144,1
0.4922,0.21816,-0.36962,-0.3911,0.27398,-0.0785,-0.46034,0.09955,0.02949,-0.38463,0.03207,0.73009,-0.13038,0.34802,-1.16313,0.67206,0.39869,-0.20553,-0.13999,-0.23144,1
0.19416,-0.9057,-0.36962,-0.22643,0.33618,-0.02424,-0.46034,0.26227,0.72912,-0.27432,-0.1747,1.23452,0.32195,-0.96909,-1.03402,-0.75606,-0.59075,-0.3562,-0.37857,-0.29274,0
-0.17838,-0.9057,-0.36962,1.58499,-0.53469,-0.09207,2.03578,-0.55134,0.1461,1.64524,-0.46136,-1.03538,-0.58271,-0.96909,-0.58675,-0.75606,-0.59075,-0.84975,-0.37857,-0.23144,0
