$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,<$Defective
1.01614,0.20066,0.92708,-0.02052,0.33071,0.78852,0.17409,-0.2408,0.89279,0.96062,0.26623,-0.16962,0.37072,-0.34972,-0.27571,0.1566,5.33812,0.16686,-0.16084,-0.1961,-0.0284,0.00298,-0.33761,-0.1961,-0.01734,-1.31201,0.68899,0.75844,0.42754,-0.39406,0.20012,-0.13258,0.48174,0.03484,0.38049,0.64958,0.13424,0
-0.50765,0.04333,0.23515,-0.39677,-0.40737,0.54141,0.02408,0.70046,0.35986,0.96062,0.02926,-0.41588,-0.06558,0.44906,-0.27571,-0.42585,0.12456,-0.20093,-0.21074,-0.27793,-0.32868,-0.37652,-0.25415,-0.27794,-0.3182,0.61682,0.68899,0.51912,-0.0898,0.72547,-0.35993,-0.37304,-0.29765,0.33721,-0.48277,-0.35267,-0.4604,0
-0.50765,-0.27135,-0.45678,-0.20864,-0.40737,-0.07635,-0.27595,-0.48371,-0.17308,1.89125,-0.20772,-0.16962,-0.39281,0.1828,3.62703,-0.06742,0.12456,-0.15028,-0.24441,-0.27211,-0.27863,-0.33565,-0.25415,-0.27211,-0.28774,1.22915,0.00717,-0.0792,-0.41903,-0.3045,-0.31793,-0.33457,-0.20023,0.33721,-0.30209,-0.32768,-0.10362,0
-0.30448,-0.27135,-0.45678,-0.39677,-0.5128,0.0472,-0.27595,-0.08899,0.09339,0.96062,-0.20772,-0.16962,-0.28373,-0.34972,-0.27571,-0.38104,-0.74437,-0.07669,-0.64061,-0.30018,-0.3537,-0.42323,0.49697,-0.30018,-0.35101,-0.82215,0.00717,0.04046,-0.27793,-0.03581,-0.35993,-0.44999,-0.15151,-0.41871,-0.44262,-0.82432,-0.42076,0
0.00028,-0.27135,-0.45678,0.16761,-0.5128,-0.44701,-0.27595,-0.54444,-0.43954,-0.90062,-0.44469,-1.36572,-0.28373,-0.34972,-0.27571,-0.06742,0.99348,-0.07626,-0.21074,-0.25475,-0.22859,-0.17218,-0.25415,-0.25475,-0.2251,-0.82215,-0.44738,-0.43819,-0.27793,-0.39406,-0.17792,-0.16143,-0.29765,-0.72108,-0.20171,-0.11685,-0.02433,0
-0.20289,0.20066,0.92708,-0.39677,-0.5128,0.78852,0.17409,0.39683,0.89279,0.96062,0.5032,0.39325,0.26164,-0.34972,-0.27571,-0.24663,-0.74437,0.01765,-0.12657,-0.22037,-0.1285,-0.07292,-0.33761,-0.22037,-0.1227,-1.31201,0.68899,0.75844,0.28645,0.23287,-0.20592,0.02132,-0.15151,0.03484,-0.28201,-0.82432,-0.30183,0
-0.50765,-0.58602,-0.80274,-0.39677,-0.5128,-0.44701,-0.57599,0.0021,-0.43954,-0.90062,-0.44469,0.99129,-0.64732,-0.34972,-0.27571,-0.69467,-0.74437,-0.25202,-0.84202,-0.3108,-0.42877,-0.54583,2.41649,-0.3108,-0.43503,1.22915,-0.44738,-0.43819,-0.65418,-0.25972,-0.51395,-0.54618,-0.54121,-1.02345,-0.6233,-0.82432,-0.69826,0
-0.50765,-0.27135,-0.80274,-0.39677,-0.5128,-0.44701,-0.27595,0.0021,-0.43954,-0.90062,-0.44469,-1.36572,-0.35645,-0.34972,-0.27571,-0.42585,0.12456,-0.19774,-0.37247,-0.29008,-0.3537,-0.42323,-0.08724,-0.29008,-0.34434,-0.82215,-0.44738,-0.43819,-0.37199,0.14331,-0.38793,-0.43076,-0.24894,0.48839,-0.50285,-0.82432,-0.4604,0
2.94626,0.98735,-0.45678,2.98953,4.02108,1.9005,0.92417,-0.51407,1.95866,0.96062,0.02926,-1.57679,0.84337,-0.34972,-0.27571,1.45589,-0.74437,-0.15173,4.2876,1.64594,0.72228,1.03636,-0.83835,1.64594,0.70989,-1.55694,1.82536,1.83541,0.80379,-0.57319,0.74617,1.1948,-0.1028,1.3955,2.24755,1.74428,1.91815,1
-0.60924,0.04333,0.23515,-0.39677,-0.5128,-0.44701,0.02408,-0.14971,-0.43954,-0.90062,0.5032,0.99129,0.18892,-0.34972,-0.27571,-0.02262,-0.74437,0.07731,0.03276,-0.16454,-0.00338,0.04384,-0.42107,-0.16454,-0.00331,-1.22016,-0.44738,-0.43819,0.23942,0.18809,0.21412,-0.07486,0.28689,0.03484,-0.34224,-0.82432,-0.10362,0
