$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,<$Defective
1.35049,2.61544,1.83063,5.4903,0.47695,3.12418,2.29587,-0.59206,3.16354,0.00277,2.68449,0.18377,3.41174,5.64839,2.05172,2.52542,0.6268,3.72075,1.43663,1.91405,3.73034,3.68647,-1.01233,1.91405,3.73252,1.91001,3.07519,3.11257,3.72374,-0.26546,3.9239,3.50797,3.58242,1.28214,2.34657,0.34435,3.19515,0
-0.42235,-0.23876,-0.20202,-0.16443,-0.40939,-0.254,-0.24617,-0.10439,-0.30522,0.65904,-0.30721,-0.41269,-0.28312,-0.02022,0.80731,-0.28936,-0.94181,-0.61163,0.11947,-0.23364,-0.37358,-0.35925,-0.4761,-0.23364,-0.37339,0.61811,-0.20836,-0.25572,-0.29099,0.09398,-0.4367,-0.30641,-0.56255,-0.11719,-0.40154,-0.24416,-0.28257,0
-0.42235,-0.47661,-0.71018,-0.36284,-0.57353,-0.47432,-0.45801,-0.59206,-0.46289,-0.37224,-0.46467,-0.15174,-0.54517,-0.49261,-0.63968,-0.39135,0.10393,0.14203,-0.85016,-0.28905,-0.43529,-0.46805,1.13259,-0.28905,-0.44282,-0.43889,-0.48199,-0.4754,-0.5655,-0.26546,-0.40621,-0.50542,-0.32644,-1.08595,-0.52693,-1.13198,-0.40741,0
-0.33587,0.11802,0.05206,0.82763,0.14868,0.26007,0.07158,0.54583,0.32547,-0.37224,0.16516,0.14649,-0.02108,0.21597,0.60473,-0.28936,2.19542,-0.35687,-0.41906,-0.26579,-0.40444,-0.41969,-0.11862,-0.26579,-0.40195,0.22663,0.20208,0.25684,-0.05079,0.09398,-0.48753,-0.37274,-0.43138,-0.11719,-0.09852,1.46758,-0.10423,0
-0.37911,-0.35768,-0.96427,-0.36284,-0.11394,-0.40088,-0.35209,1.19604,-0.46289,1.1903,-0.62213,-1.71745,-0.51897,-0.02022,1.29928,-0.53413,-0.94181,-0.79691,-0.35672,-0.28444,-0.52786,-0.58491,-0.11862,-0.28444,-0.52254,1.20534,-0.34517,-0.40217,-0.5655,1.17233,-0.58917,-0.57839,-0.64125,-0.22483,-0.62097,1.17306,-0.53225,0
0.96133,-0.23876,1.06838,0.3316,-0.11394,-0.18057,-0.24617,-1.56738,-0.14754,-0.37224,0.0077,1.07846,-0.1783,-0.49261,-0.63968,0.38374,3.24116,1.15288,0.13671,-0.00832,0.45955,0.53935,-0.4761,-0.00832,0.46203,-0.94782,-0.20836,-0.1825,-0.15373,-1.34381,0.37646,0.64221,0.82785,0.74394,0.66427,-0.09983,0.39514,0
-0.50883,-0.59553,-0.71018,-0.16443,-0.1796,-0.6212,-0.56393,-0.4295,-0.62056,-0.37224,-0.46467,1.07846,-0.67619,-0.49261,-0.63968,-0.63611,0.6268,-0.83141,-0.88796,-0.30303,-0.60501,-0.68968,1.31133,-0.30303,-0.59762,0.22663,-0.6188,-0.62184,-0.70275,-0.80464,-0.70098,-0.67789,-0.77242,-0.97831,-0.52693,1.70192,-0.58576,0
-0.63855,-0.59553,-0.71018,-0.36284,-0.57353,-0.6212,-0.56393,-0.4295,-0.62056,-0.37224,-0.46467,1.07846,-0.64999,-0.49261,-0.63968,-0.59532,0.10393,-0.70693,-1.16452,-0.30655,-0.62043,-0.734,5.77992,-0.30655,-0.62442,0.22663,-0.6188,-0.62184,-0.66844,0.27371,-0.72131,-0.7376,-0.77242,-1.51652,-0.68366,-0.81456,-0.58576,0
-0.11967,-0.47661,-0.4561,-0.56126,0.70674,-0.47432,-0.45801,-1.72994,-0.46289,-0.37224,-0.62213,-1.41922,-0.46656,-0.49261,-0.63968,0.11858,0.10393,0.2366,-0.29239,-0.21572,-0.17301,-0.19001,-0.29736,-0.21572,-0.16913,-0.43889,-0.48199,-0.4754,-0.46256,-1.52353,0.0512,-0.34621,0.51305,0.20574,0.40304,0.83966,0.00278,0
-0.46559,-0.35768,-0.20202,-0.46205,-0.5407,-0.47432,-0.35209,0.87093,-0.62056,5.87791,-0.46467,-0.78548,-0.49276,-0.49261,-0.63968,-0.49333,-0.41894,-0.60464,-0.42835,-0.27848,-0.48158,-0.52043,-0.11862,-0.27848,-0.47625,-0.75208,-0.34517,-0.4754,-0.53118,0.81288,-0.53835,-0.50542,-0.53631,-0.22483,-0.58962,-1.01481,-0.51442,0
0.18301,-0.35768,0.05206,0.4308,0.14868,-0.32744,-0.35209,-1.07972,-0.30522,-0.37224,-0.46467,-0.78548,-0.30933,-0.49261,-0.63968,-0.22817,0.10393,-0.11369,0.35027,-0.12549,-0.06502,-0.01673,-0.65485,-0.12549,-0.06012,-0.75208,-0.34517,-0.32895,-0.29099,-0.98436,-0.01996,-0.01453,0.04084,0.6363,0.01642,1.17306,-0.12206,0
0.65865,-0.00091,2.33879,1.02604,0.1815,0.11319,-0.03433,-1.24227,0.1678,-0.37224,0.32262,1.07846,0.18856,-0.49261,-0.63968,0.36334,3.76403,1.31934,0.13804,0.01322,0.53669,0.61188,-0.4761,0.01322,0.54136,-1.18271,0.06527,0.1104,0.25804,-0.98436,0.49844,0.68201,1.01149,0.74394,0.58068,0.54407,0.50215,1
