$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,<$Defective
0.78159,-0.00687,-0.60372,1.08827,0.51779,-0.03509,-0.02177,-0.29484,-0.09326,0.89961,-0.13533,-0.61935,-0.12754,0.62165,1.57434,-0.10818,-1.14069,-0.08072,0.26816,-0.06514,-0.05502,-0.03621,-0.75941,-0.06514,-0.05257,1.44442,0.01941,-0.03885,-0.15908,-0.5606,-0.02879,-0.04197,0.07325,0.8998,0.20024,1.35169,-0.0192,0
-0.59934,-0.25078,-0.92089,-0.46826,0.13353,-0.25282,-0.26017,0.0378,-0.27311,0.89961,-0.52453,-1.25231,-0.33208,0.19316,2.03862,-0.29846,-1.14069,-0.33204,-0.67411,-0.10867,-0.25003,-0.32617,0.97193,-0.10867,-0.25156,1.96783,-0.23239,-0.2554,-0.35234,-0.23603,-0.35143,-0.30341,-0.51332,-1.12823,-0.35605,0.88016,-0.33159,1
-0.69797,-0.00687,0.66497,-0.46826,-0.53893,0.00845,-0.02177,0.57003,-0.00334,0.06836,0.05927,-0.12704,-0.01597,0.83589,2.03862,-0.19275,-0.32925,-0.22167,0.02828,-0.08951,-0.15253,-0.17873,-0.58628,-0.08951,-0.15328,1.96783,0.01941,0.00446,-0.01413,0.80259,-0.19285,-0.16604,-0.19747,0.5878,-0.40662,-0.83372,-0.22746,0
-0.00751,-0.41338,-0.60372,-0.46826,-0.44286,-0.38345,-0.41911,-0.96012,-0.36303,-0.48581,-0.32993,1.38504,-0.42505,-0.44958,-0.69246,-0.29846,-0.32925,-0.13962,-0.4509,-0.10169,-0.18503,-0.23034,0.10626,-0.10169,-0.18783,0.09848,-0.40026,-0.38533,-0.42481,-0.82025,-0.22566,-0.23251,-0.19747,-0.34822,-0.35605,-0.49074,-0.33159,0
-0.69797,-0.33208,-0.28654,-0.20884,-0.44286,-0.33991,-0.33964,-0.89359,-0.36303,2.28503,-0.32993,0.2246,-0.35067,-0.02109,2.03862,-0.19275,-0.32925,-0.1581,-0.51042,-0.10359,-0.20128,-0.25491,0.27939,-0.10359,-0.20065,1.96783,-0.31633,-0.34202,-0.35234,-0.49568,-0.253,-0.25467,-0.19747,-0.19221,-0.37291,-0.34419,-0.20664,0
0.58432,-0.08817,1.29932,-0.46826,0.80598,-0.03509,-0.10123,-0.49442,-0.00334,-0.48581,-0.52453,-1.53363,0.00262,-0.44958,-0.69246,0.01867,-1.14069,-0.00766,0.15626,-0.06595,-0.03877,-0.00672,-0.58628,-0.06595,-0.03651,-1.13529,-0.06453,-0.03885,0.03418,-0.69043,-0.02332,0.00677,0.07325,0.5878,0.21709,0.84056,-0.0192,0
-0.20479,-0.33208,0.03063,-0.20884,-0.44286,-0.29636,-0.33964,-0.36136,-0.27311,-0.48581,-0.32993,0.2246,-0.33208,-0.44958,-0.69246,-0.34074,0.48219,-0.22131,-0.43602,-0.10326,-0.20941,-0.25982,0.10626,-0.10326,-0.20632,-0.5371,-0.31633,-0.29871,-0.32818,-0.43077,-0.2694,-0.25023,-0.28771,-0.19221,-0.40662,-0.09891,-0.35242,0
1.17614,-0.00687,3.20235,-0.46826,1.28631,-0.20927,0.13717,-0.76053,-0.18319,-0.48581,1.03226,1.38504,0.11419,-0.44958,-0.69246,0.54721,-1.14069,0.158,0.02411,-0.0633,0.00998,0.03014,-0.58628,-0.0633,0.00858,-1.35961,-0.23239,-0.21209,0.10666,-0.69043,-0.01238,0.06438,0.3891,1.36781,0.82395,0.50478,0.50145,0
-0.20479,-0.33208,-0.60372,-0.20884,-0.25073,-0.29636,-0.33964,1.43489,-0.27311,-0.48581,-0.32993,0.2246,-0.36927,-0.44958,-0.69246,-0.48873,0.48219,-0.37571,-0.43304,-0.10697,-0.24191,-0.32371,0.10626,-0.10697,-0.24517,-0.5371,-0.31633,-0.29871,-0.3765,-0.1062,-0.31862,-0.32556,-0.44564,-0.50422,-0.49091,1.45145,-0.4982,0
2.45843,0.11508,1.93366,2.6448,1.67057,-0.12218,0.21664,-0.42789,-0.18319,1.37066,0.83766,0.68174,0.077,0.4074,0.50922,0.10323,-1.14069,0.054,-0.13899,-0.08128,-0.07127,-0.07553,-0.41314,-0.08128,-0.0716,0.09848,-0.06453,-0.12547,0.03418,-0.69043,-0.11082,-0.0464,0.18606,1.05581,0.95881,1.81294,0.31401,0
