$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
-0.24686,-0.19032,-0.38164,-0.31713,-0.30025,-0.33452,-0.30695,-0.36658,-0.39104,-0.2229,-0.21582,-0.26193,-0.24945,-0.07122,-0.12768,0.13366,-0.35578,-0.3493,-0.2154,-0.32877,1.10193,2.36969,-0.45486,-0.3498,-0.45442,-0.3506,-0.33801,-0.27937,0.73973,-0.24558,8.23703,-0.56929,-0.10647,-0.54625,-0.34206,-0.40122,-0.29976,-0.4312,-0.09141,-0.09688,-0.46143,-0.37003,-0.29095,0.50383,-0.46177,-0.39766,-0.39414,-0.42836,-0.30119,0.70217,1.65052,-0.34546,-0.29174,1.84919,-0.42599,1.54469,-0.24817,-0.43369,-0.38094,0.5842,-0.22116,0
-0.24686,-0.23392,-0.38164,-0.3687,-0.30025,-0.33452,-0.24218,-0.135,-0.39104,-0.2229,-0.29835,-0.26193,-0.24945,-0.06744,-0.20083,-0.33066,0.46531,-0.32719,-0.2154,-0.32877,1.11152,-0.24141,-0.71212,-0.18292,-0.24764,-0.32539,-0.688,-0.19471,-1.00379,-0.3185,-0.16372,-0.56929,-0.10182,-0.66219,-0.28125,-0.33955,-0.29976,-0.34896,-0.08168,-0.09186,-0.40527,-0.19784,-0.24539,-0.42985,0.08992,-0.04835,0.11754,-0.42836,-0.29546,0.99815,-0.58452,-0.34546,-0.31048,-0.57137,-0.31099,-0.81912,0.00236,-0.43779,-0.2612,0.89376,-0.24087,0
-0.24686,-0.40128,-0.38164,-0.31713,-0.30025,0.10157,-0.18082,-0.36658,-0.39104,-0.2229,-0.19782,-0.26193,-0.24945,-0.4533,-0.20083,0.59799,-0.35578,-0.34193,-0.2154,-0.32877,1.10415,-0.24141,0.11832,-0.17637,-0.6612,-0.3434,-0.27743,-0.49101,0.73973,-0.3185,-0.16372,-0.56929,-0.11266,0.06277,-0.4084,-0.13069,0.43953,-0.2441,-0.09627,-0.16402,-0.57374,-0.21378,-0.06315,-0.42985,-0.46177,-0.39766,-0.39414,-0.42836,-0.30406,0.69122,1.91588,-0.34546,0.0387,1.50353,-0.22714,-0.08416,-0.39849,-0.2381,-0.36117,0.50338,-0.40186,0
-0.24686,-0.05593,1.7944,1.28155,-0.30025,-0.33452,1.84976,0.05331,0.31408,-0.2229,2.24,-0.26193,-0.24945,0.31085,0.01864,1.99096,3.74967,1.43464,-0.2154,-0.32877,1.2663,-0.24141,1.7688,2.22383,1.51,1.01233,2.09847,0.31325,1.90207,0.33773,-0.16372,1.74025,-0.04793,2.00124,1.10635,3.91654,-0.29976,4.00567,1.37788,-0.01405,1.11099,2.43618,-0.10871,-0.42985,-0.46177,1.69821,0.61919,1.10831,1.14561,1.81803,0.24712,1.28236,1.43955,0.59939,4.01472,0.88918,0.60364,2.325,2.30566,2.0456,-0.11074,1
-0.24686,-0.40128,-0.38164,-0.42027,0.46475,0.10157,-0.25914,-0.36658,-0.39104,-0.2229,-0.87349,-0.26193,-0.24945,-0.4533,-0.12768,-0.33066,-0.35578,-0.35667,-0.2154,-0.32877,-0.88694,-0.24141,1.90493,-0.17147,-0.76459,-0.3542,2.03789,-0.36403,0.15855,-0.3185,-0.16372,1.74025,-0.10988,0.81812,-0.35312,-0.0244,0.22145,-0.07484,0.39511,-0.16402,-0.6299,-0.20581,-0.29095,-0.42985,-0.46177,-0.39766,-0.39414,1.10831,-0.0147,-0.84082,1.72165,-0.43589,0.4704,1.71706,-0.03836,0.47203,-0.4486,0.20919,-0.25073,-0.54821,-0.40186,0
0.70413,0.27609,-0.02118,1.59098,0.46475,0.10157,0.59264,0.08029,0.66491,-0.2229,1.52371,0.21335,1.97563,1.07879,0.38442,1.06231,1.2864,1.55259,0.56791,-0.32877,1.19763,7.59191,1.7688,1.625,0.99305,0.8701,1.86963,-0.11005,-0.42262,0.1919,4.38574,1.74025,-0.09594,2.00012,0.52588,0.50707,-0.01489,0.56763,0.39511,0.11396,0.66173,1.19092,0.02797,0.50383,-0.46177,0.65027,0.11253,1.10831,0.85625,1.00639,-0.30822,1.6441,-0.14868,-0.44706,0.29785,-0.44171,-0.19807,-0.07293,1.48608,0.45154,0.31573,1
-0.05666,1.85762,-0.38164,0.40486,2.0402,0.56357,0.02472,2.73631,-0.39104,-0.2229,1.0767,0.80088,-0.24945,1.83916,0.67705,0.59799,-0.35578,0.00454,-0.2154,-0.32877,1.18837,-0.24141,-0.71212,1.02454,0.26931,0.00949,-0.688,-0.19471,-1.00379,-0.24558,-0.16372,-0.56929,-0.10182,-0.66219,-0.17621,1.27462,-0.05419,0.8013,0.89622,0.24448,-0.01217,0.95654,0.25576,0.50383,-0.46177,-0.04835,1.63252,-0.42836,0.28039,1.31624,-0.58452,0.37802,1.88314,-0.57137,0.70532,-0.79926,-0.14796,0.98016,1.20707,1.31633,1.97454,1
0.51393,-0.40128,-0.38164,-0.42027,-0.30025,0.10157,-0.28802,-0.36658,-0.39104,4.02831,-1.02128,-0.26193,-0.24945,-0.4533,-0.12768,0.59799,-0.35578,-0.02495,-0.2154,0.83739,1.05391,-0.24141,-0.71212,-0.51669,0.47609,0.0383,-0.688,-0.23704,-1.00379,-0.24558,-0.16372,-0.56929,-0.1043,-0.66219,-0.13199,-0.46955,2.3004,0.62012,-0.58766,-0.16402,0.10015,-0.53745,-0.15427,-0.42985,-0.18592,-0.39766,-0.39414,-0.42836,-0.59342,0.42032,-0.86083,-0.43589,-0.47065,-0.72439,-0.4977,-0.81912,-0.4486,-0.53681,-0.3821,0.15047,-0.40186,0
-0.24686,-0.03786,0.58406,-0.11085,0.46475,0.10157,-0.04415,0.19175,0.31061,-0.03726,0.19953,0.08637,-0.24945,0.31464,-0.05452,0.13366,0.46531,-0.04706,-0.2154,0.84893,1.13289,-0.24141,-0.71212,0.48953,-0.14425,-0.04632,-0.66781,-0.06772,-0.42262,1.06688,-0.16372,-0.56929,-0.09253,-0.66219,-0.17621,0.14013,-0.15142,0.05364,-0.58766,-0.01907,0.71788,0.11946,-0.06315,-0.42985,0.08992,-0.04835,0.62421,-0.42836,-0.0147,0.90275,-0.86083,-0.11937,-0.47065,-0.72439,-0.07084,-0.7794,0.00236,0.16054,0.24799,0.78385,-0.0333,1
-0.24686,-0.40128,0.06264,-0.21399,-0.30025,-0.33452,-0.21426,-0.36658,-0.04022,-0.2229,-0.35043,-0.26193,-0.24945,-0.4533,0.01864,-0.33066,0.46531,-0.31981,-0.2154,-0.32877,-0.86468,-0.24141,-0.50653,-0.33671,-0.04086,-0.30018,-0.66781,-0.36403,-0.42262,-0.09975,-0.16372,-0.56929,-0.10988,-0.31547,-0.27019,-0.39628,-0.29976,-0.37884,-0.07681,-0.16402,-0.12448,-0.34612,-0.19983,-0.42985,-0.46177,-0.04835,-0.39414,-0.42836,-0.00324,-0.86854,-0.28633,-0.25502,-0.31985,-0.49584,-0.41918,-0.7794,-0.19807,-0.09761,-0.22865,-0.89313,-0.40186,1
