$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
-0.47826,0.83951,0.55322,-0.14526,-0.04449,0.75197,0.85558,1.92659,0.20066,1.50307,-0.27808,-0.04855,-0.4097,0.53173,-0.03328,-0.24487,-0.1795,-0.46965,-0.36774,1.27458,0.15017,-0.16943,0.11323,0.38459,-0.51148,-0.48342,-0.19377,-0.29168,0.45985,0.10252,-0.15744,3.11349,-0.29028,0.37785,-0.45175,3.21121,2.5294,3.20671,0.6918,0.42098,-0.14895,0.4515,-0.04229,-0.17464,-0.17667,1.00473,1.13199,2.27223,-0.11194,2.56377,0.17011,0.01568,2.10189,-0.154,3.8467,-0.26205,0.07789,0.64217,0.22565,3.28814,0.93212,0
-0.47826,-0.55021,-0.33988,-0.50858,-0.04449,-0.25197,-0.55866,-0.4609,-0.33935,-0.34368,-1.27127,-0.04855,-0.4097,-0.58661,-0.03328,-0.24487,-0.1795,-0.43781,-0.36774,-0.47586,-0.64028,-0.16943,-0.24856,-0.59414,0.04508,-0.37455,-0.06325,-0.40261,1.09903,-0.21052,-0.15744,-0.25667,-0.31875,-0.30654,-0.27741,-0.52723,-0.19209,-0.80213,-0.65435,-0.49325,-0.14895,-0.64385,-0.07736,-0.17464,-0.69988,-0.32045,-0.49753,-0.20676,-0.57762,-1.22574,-0.71939,-0.36488,-0.58639,-0.70591,-0.57981,0.40078,-0.47561,-0.56561,-0.71094,-1.18599,-0.53849,0
1.22539,0.24112,-0.33988,0.76306,-0.04449,-0.25197,-0.1168,-0.4609,-0.33935,-0.34368,1.62074,-0.04855,0.39971,-0.04617,-0.03328,-0.24487,2.50764,0.32643,0.88731,-0.47586,0.54205,-0.16943,-0.12638,0.04568,1.43647,0.69861,0.13252,0.263,-0.17933,-0.21052,-0.15744,-0.25667,-0.07675,0.37785,0.61018,0.07245,-0.19209,0.46153,-0.20268,-0.12289,0.52552,0.18163,-0.04229,-0.17464,0.08493,1.00473,-0.49753,-0.20676,-0.34247,0.71645,-0.31103,0.52309,-0.07999,-0.52921,0.16787,-0.26205,-0.66011,-0.34662,0.4795,-0.02621,0.21778,0
-0.05235,-0.55021,-0.04918,0.03641,-0.04449,-0.25197,0.26021,-0.4609,0.20596,-0.34368,1.39313,-0.04855,-0.4097,-0.58661,-0.03328,-0.24487,-0.1795,0.10353,-0.36774,-0.47586,0.43868,-0.16943,-0.24856,-0.27423,0.4625,0.48087,-0.25903,-0.18074,-0.81851,-0.28878,-0.15744,-0.25667,-0.25707,-0.30654,0.13469,-0.23689,-0.19209,0.40735,0.24013,-0.49325,-0.01406,0.72402,-0.02475,-0.17464,0.34653,-0.32045,-0.49753,-0.20676,0.13243,0.50314,-0.71939,0.14253,-0.11357,-0.70591,0.36805,-0.51285,0.07789,-0.14169,0.68738,-0.1848,-0.53849,1
-0.26531,1.4393,1.0138,0.03641,-0.04449,1.78242,0.90409,0.51613,1.00804,1.53229,1.26863,-0.04855,0.41574,2.14772,-0.03328,1.39892,-0.1795,0.26274,-0.01037,3.9609,0.40526,5.94931,-0.24856,1.37599,0.32336,0.16981,-0.25903,1.26141,-0.81851,1.19815,3.99587,-0.25667,0.60653,-0.30654,0.11884,0.71356,0.65489,0.29314,0.69623,1.9825,0.9302,1.31932,0.06293,-0.17464,0.86974,-0.32045,1.08521,-0.20676,0.82635,0.53008,-0.71939,0.39624,0.09899,-0.70591,0.66345,-0.51285,2.2919,0.47958,1.18413,-0.07496,1.37608,0
1.86426,-0.09094,-0.33988,0.03641,-0.04449,0.08268,1.93726,-0.4609,-0.33935,0.30528,0.44698,-0.04855,0.39971,-0.04617,-0.03328,-0.24487,-0.1795,0.93145,0.25766,0.39936,0.37895,-0.16943,-0.24856,0.69183,0.60163,1.42961,-0.25903,1.26141,-0.81851,0.10252,-0.15744,-0.25667,0.60653,-0.30654,1.30757,2.96557,0.05544,3.28009,0.6918,-0.08952,0.32318,0.19222,0.08046,-0.17464,1.91616,-0.32045,-0.49753,-0.20676,0.12321,2.4707,-0.31103,0.14253,0.31458,-0.29799,2.78812,-0.40536,0.63139,1.22151,0.7027,2.09352,-0.11365,1
0.37356,0.22294,0.49143,1.12638,-0.04449,-0.25197,0.83061,0.85866,0.46273,-0.34368,1.29711,-0.04855,0.40773,-0.04617,-0.03328,-0.24487,-0.1795,0.13537,0.8336,-0.47586,0.42928,-0.16943,-0.24856,0.714,0.60163,0.13092,-0.25903,0.15206,-0.81851,-0.28878,-0.15744,-0.25667,-0.12895,-0.30654,0.19808,0.97267,-0.19209,0.65103,0.25342,-0.12623,0.05339,1.00976,-0.00722,5.27205,0.60814,3.65508,0.28994,-0.20676,0.12321,0.65312,-0.71939,1.03051,0.46125,-0.70591,0.51695,-0.51285,0.26239,0.18119,0.74209,0.23048,0.17986,1
-0.47826,-0.55021,-0.33988,-0.32692,-0.04449,-0.25197,-0.54341,-0.4609,-0.33935,-0.34368,-0.79558,-0.04855,-0.4097,-0.58661,-0.03328,-0.24487,-0.1795,-0.66071,-0.36774,-0.47586,-0.41471,-0.16943,-0.24856,-0.59414,-0.78975,-0.69339,-0.25903,-0.73541,-0.17933,-0.28878,-0.15744,-0.25667,-0.37569,-0.30654,-0.67365,-0.52723,-0.19209,-0.80213,-0.65435,-0.49325,-0.62108,-0.64385,-0.09489,-0.17464,-0.69988,-0.32045,-0.49753,-0.20676,-0.57762,-0.68065,-0.71939,-0.36488,-0.58639,-0.70591,-0.57981,-0.40536,-0.47561,-0.56561,-0.71094,-0.51886,-0.53849,0
0.16061,-0.55021,-0.33988,-0.50858,-0.04449,-0.25197,-0.51386,-0.4609,-0.33935,-0.34368,-0.64287,-0.04855,-0.4097,-0.58661,-0.03328,-0.24487,-0.1795,0.39012,-0.36774,-0.47586,-0.36532,-0.16943,-0.24856,-0.26473,0.04508,0.10759,-0.25903,-0.29168,-0.17933,-0.21052,-0.15744,-0.25667,-0.29028,-0.30654,-0.08721,-0.39173,-0.19209,-0.06944,-0.65435,-0.49325,-0.14895,-0.64385,-0.09489,-0.17464,-0.69988,-0.32045,-0.49753,-0.20676,-0.57762,-0.63947,-0.31103,-0.49174,-0.58639,-0.29799,-0.57981,0.00667,-0.66011,-0.56561,-0.23389,-0.46004,-0.53849,0
-0.47826,-0.55021,-0.33988,-0.50858,-0.04449,-0.25197,-0.55498,-0.4609,-0.33935,-0.34368,-1.00838,-0.04855,-0.4097,-0.58661,-0.03328,-0.24487,-0.1795,-0.62887,-0.36774,-0.47586,-0.49373,-0.16943,-0.24856,-0.59414,-0.78975,-0.63895,-0.25903,-0.73541,-0.81851,-0.21052,-0.15744,-0.25667,-0.37569,-0.30654,-0.64195,-0.52723,-0.19209,-0.80213,-0.65435,-0.49325,-0.55363,-0.64385,-0.07736,-0.17464,-0.43828,-0.32045,-0.49753,-0.20676,-0.57762,-0.76007,-0.71939,-0.49174,-0.58639,-0.70591,-0.57981,-0.51285,-0.84461,-0.56561,-0.71094,-0.46053,-0.53849,0
