$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
-0.30875,-0.34814,0.39692,-0.09697,-0.24087,-0.33684,-0.1786,0.06187,0.6882,-0.26441,0.03544,-0.15762,-0.19321,-0.39506,0.30808,0.09385,,-0.41343,-0.15525,-0.30686,-0.21506,-0.22104,-0.22948,-0.41799,-0.96388,-0.39668,-0.28943,-0.49675,-0.89231,0.09786,-0.18333,-0.26105,-0.17385,-0.25149,-0.54459,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.18681,-0.44863,-0.25482,,-0.32865,,0.53444,-0.19591,0.49141,-0.56228,0.18165,-0.09697,-0.44511,-0.06226,-0.49473,-0.16826,-0.33134,0.24713,-0.40489,-0.64227,-0.34682,0
-0.30875,-0.34814,-0.39201,-0.29881,-0.24087,-0.33684,-0.31728,-0.30763,-0.34951,-0.26441,-0.73086,-0.15762,-0.19321,-0.39506,-0.4063,0.09385,,-0.47339,-0.15525,-0.30686,-0.33718,-0.22104,-0.22948,-0.41799,-0.96388,-0.44266,-0.28943,-0.60926,-0.89231,-0.26926,-0.18333,-0.26105,-0.17962,-0.25149,-0.56251,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.52831,-0.44863,-0.66719,,-0.5316,,-0.40445,-0.19591,-0.49375,-0.52071,-1.30967,-0.29881,-0.44511,-1.0563,-0.49473,-0.78854,-0.88977,-0.50277,-0.40489,-0.28316,-0.34682,0
1.31983,0.0908,-0.39201,0.30669,-0.24087,0.45312,1.00511,0.21925,-0.34951,0.31046,-0.11712,-0.15762,-0.19321,0.28346,-0.4063,-0.24392,,2.30504,-0.15525,0.66364,-0.19692,-0.22104,-0.22948,0.05544,0.19445,1.32111,-0.28943,1.64086,-0.89231,-0.26926,-0.18333,-0.26105,0.48363,-0.25149,0.78127,-0.11476,0.17729,-0.26572,0.13002,0.12025,-0.18681,-0.04051,8.12999,,6.36861,,0.53444,-0.19591,-0.24746,-0.28203,-0.81744,0.30669,1.88051,-0.56406,-0.25079,-0.78854,1.34395,0.21275,-0.05754,0.00936,0.03354,0
2.4831,-0.34814,-0.39201,-0.29881,-0.24087,-0.33684,-0.31597,-0.30763,-0.34951,-0.26441,-0.60405,-0.15762,-0.19321,-0.39506,-0.4063,-0.24392,,2.32503,-0.15525,-0.30686,-0.23507,-0.22104,-0.22948,-0.41799,-0.73221,2.67946,0.84692,0.62831,0.26669,-0.34268,-0.18333,-0.26105,0.04243,-0.25149,0.78127,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.52831,-0.44863,0.84483,,1.70082,,-0.40445,-0.19591,-0.49375,0.14265,-1.30967,-0.29881,-0.44511,-1.0563,-0.49473,1.00338,-0.70363,-0.50277,-0.40489,0.38695,-0.34682,0
-0.30875,-0.34814,-0.39201,-0.29881,-0.24087,-0.33684,-0.00148,-0.30763,-0.34951,-0.26441,-0.43753,-0.15762,-0.19321,-0.39506,-0.4063,-0.24392,,-0.35346,-0.15525,-0.30686,-0.26567,-0.22104,-0.22948,-0.41799,-0.50055,-0.34653,-0.28943,-0.15923,0.26669,-0.34268,-0.18333,-0.26105,-0.13925,-0.25149,-0.41917,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.46001,-0.44863,-0.25482,,-0.5316,,-0.40445,-0.19591,-0.49375,-0.37652,-1.30967,-0.29881,-0.44511,-1.0563,-0.49473,-0.37502,0.22709,-0.50277,-0.40489,-0.00817,-0.34682,0
-0.30875,-0.34814,-0.39201,-0.50064,-0.24087,-0.33684,-0.24915,-0.30763,-0.34951,-0.26441,-0.21407,-0.15762,-0.19321,-0.39506,-0.4063,-0.24392,,-0.35346,-0.15525,-0.30686,-0.28382,-0.22104,-0.22948,-0.41799,-0.73221,-0.40086,-0.28943,-0.15923,1.42568,-0.26926,-0.18333,3.65785,-0.13925,-0.25149,-0.41917,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.46001,-0.44863,-0.66719,,-0.5316,,-0.40445,3.66089,-0.49375,-0.74039,0.65926,-0.50064,-0.44511,0.22253,-0.49473,-0.23718,0.22709,-0.50277,-0.40489,-0.83907,-0.34682,0
-0.30875,0.07565,-0.04658,0.30669,-0.24087,-0.33684,-0.12665,0.23504,0.42877,-0.0435,0.65532,-0.15762,-0.19321,0.27681,-0.4063,0.43162,,-0.25352,-0.15525,0.67325,-0.09654,0.79062,-0.22948,0.04204,-0.50055,-0.21696,-0.28943,-0.15923,0.26669,-0.04898,0.07572,-0.26105,-0.13925,-0.25149,-0.31167,-0.13532,-0.28721,-0.28011,-0.58003,0.03926,-0.18681,-0.03659,-0.39228,,-0.5316,,0.53444,-0.19591,0.24512,-0.40411,0.67388,0.30669,-0.44511,0.22253,-0.24553,0.0385,0.22709,-0.15324,-0.04256,-0.55024,0.05512,1
-0.30875,-0.34814,-0.39201,-0.09697,-0.24087,-0.33684,-0.2762,-0.30763,-0.34951,-0.26441,-0.6299,-0.15762,-0.19321,-0.39506,-0.4063,0.09385,,-0.31348,-0.15525,-0.30686,-0.15726,-0.22104,-0.22948,-0.41799,-0.73221,-0.26294,-0.28943,-0.38425,-0.89231,-0.04898,-0.18333,-0.26105,-0.1652,-0.25149,-0.27583,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.25511,-0.44863,-0.39228,,-0.1257,,-0.40445,-0.19591,-0.49375,0.63354,-1.30967,-0.09697,-0.44511,-1.0563,-0.49473,-0.78854,-0.33134,-0.50277,-0.40489,0.47815,-0.34682,0
-0.30875,-0.34814,-0.39201,-0.50064,-0.24087,-0.33684,-0.23653,-0.30763,-0.34951,-0.26441,-0.36006,-0.15762,-0.19321,-0.39506,1.02247,-0.24392,,-0.41343,-0.15525,-0.30686,-0.30547,-0.22104,-0.22948,-0.41799,0.19445,-0.35071,-0.28943,-0.60926,-0.89231,-0.26926,-0.18333,-0.26105,-0.17962,-0.25149,-0.31167,-0.40694,-0.28721,-0.51475,-0.58003,-0.19695,-0.18681,-0.44863,0.02009,,-0.32865,,-0.40445,-0.19591,-0.49375,-0.74734,0.16703,-0.50064,-0.44511,-0.06226,-0.49473,-0.71962,-0.51749,-0.50277,-0.40489,-0.83348,-0.34682,0
-0.30875,3.61675,2.05373,0.71036,-0.24087,2.95596,0.08941,-0.03336,0.9579,-0.26441,1.19584,-0.15762,-0.19321,1.62055,-0.4063,-0.24392,,-0.31348,-0.15525,-0.30686,0.21294,-0.22104,-0.22948,0.95762,-0.50055,-0.35907,-0.28943,-0.49675,-0.89231,0.17129,-0.18333,-0.26105,-0.17385,-0.25149,-0.49084,2.65863,0.66264,2.15892,0.84007,0.25973,0.01809,0.75218,2.90666,,-0.5316,,1.47333,-0.19591,1.24004,1.17861,0.16703,0.71036,0.10582,-0.06226,2.29146,-0.78854,-0.88977,1.97043,0.55333,0.69166,3.71758,0
