$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
0.15697,0.43549,0.28931,-0.03792,-0.27599,1.06194,0.77272,1.5899,0.06749,1.34497,0.71255,-0.18906,0.25901,0.41579,-0.1484,-0.24741,2.88518,0.00591,-0.26055,1.62518,0.88296,-0.18434,-0.23784,0.17907,-0.22348,0.01304,-0.2212,0.08905,-0.47288,-0.20061,-0.10074,-0.23532,-0.19478,-0.29901,-0.19473,0.18204,1.05036,0.05041,0.17244,0.16753,-0.23984,0.12879,0.30968,-0.1486,1.09061,1.18185,1.15846,-0.18581,0.29901,1.24716,-0.1055,-0.06948,0.58196,-0.61709,0.10544,-0.47604,0.31441,0.79267,0.09112,1.30316,0.65978,1
5.97928,2.42468,0.92781,8.44915,-0.27599,6.68538,6.259,0.59123,0.62552,6.01913,5.0192,-0.18906,7.16141,5.61546,-0.04296,-0.24741,2.88518,4.41288,4.35857,7.20905,5.44421,-0.18434,-0.23784,6.68479,4.77024,4.79048,-0.2212,3.00594,-0.47288,-0.41097,-0.10074,-0.23532,2.82422,-0.29901,4.76596,5.55869,4.66518,6.91969,5.2617,4.8887,3.97756,6.84576,4.34615,13.60753,5.0152,8.18644,1.95155,-0.18581,4.39697,6.19868,-0.1055,8.6985,3.14477,-0.00249,7.25072,-0.54686,0.17506,2.97736,6.4211,5.53315,2.50931,1
0.15697,0.08699,2.20046,0.08875,0.78967,1.08179,1.06629,-0.35203,2.9184,0.45597,0.61507,-0.02993,0.83751,0.41579,-0.1484,8.04515,-0.35502,0.25349,0.60983,0.94917,0.76943,7.41064,-0.23784,0.44666,0.92091,0.40241,-0.2212,-0.14745,-0.47288,1.69256,-0.10074,-0.23532,-0.27075,-0.29901,0.18015,0.22178,0.39236,-0.20564,0.55788,0.1335,1.46507,0.20602,0.02136,-0.1486,0.07313,0.40356,-0.47579,-0.18581,1.91533,1.25944,-0.1055,0.049,0.09218,-0.00249,-0.16058,-0.54686,-0.52172,1.36128,0.27965,1.72122,0.08509,0
1.35568,1.44542,1.11318,4.26895,-0.27599,0.0792,2.12127,0.2059,2.86315,-0.04883,3.38219,-0.18906,3.70737,2.56311,-0.1484,-0.24741,6.12538,2.54776,1.6823,0.2664,3.37716,-0.18434,-0.23784,3.44029,3.10567,1.80677,-0.06871,1.19274,-0.47288,0.6408,-0.10074,-0.23532,0.49455,-0.29901,1.8279,3.69064,-0.12519,3.65743,3.05969,1.63538,2.63158,3.67023,-0.41112,-0.1486,-0.50829,4.295,0.34934,-0.18581,2.79611,3.01408,0.42893,4.19602,3.45991,0.3499,3.45495,0.1613,0.59312,2.79093,3.37594,2.55886,1.6555,1
-0.18551,0.04489,-0.45188,-0.41794,0.78967,0.05438,-0.39475,0.2059,-0.49053,-0.35612,0.31763,0.05697,0.25901,0.40299,-0.04296,-0.24741,-0.35502,-0.37372,-0.00314,-0.42989,0.30591,-0.18434,-0.23784,-0.04253,-0.63963,-0.3982,-0.06871,-0.14745,1.56995,-0.41097,-0.10074,-0.23532,-0.27075,-0.29901,-0.40397,-0.24789,-0.17136,-0.29399,-0.19516,0.10628,-0.6885,-0.0845,-0.41112,-0.1486,-0.50829,-0.37473,0.33332,-0.18581,-0.33144,0.29138,0.97394,-0.42494,-0.40559,0.63073,-0.26707,0.51538,0.17506,-0.49764,-0.12776,0.40713,0.0607,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.53877,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,-0.53382,-0.2212,-0.77813,-0.47288,-0.62132,-0.10074,-0.23532,-0.34953,-0.29901,-0.50859,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.86796,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.80044,-0.60579,-0.46806,-0.64356,-0.40116,0
1.01319,-0.17798,-0.45188,0.34209,-0.27599,0.5656,1.91906,-0.35203,-0.49053,0.77157,0.34752,-0.18906,0.28736,-0.00684,-0.1484,-0.24741,2.88518,0.27,-0.26055,0.94917,0.59044,-0.18434,-0.23784,0.64317,0.92091,0.33241,4.20091,0.24672,1.56995,-0.62132,-0.10074,-0.23532,-0.13007,4.92523,0.52016,0.84412,0.47157,0.57931,0.17958,0.0609,0.56775,0.36599,-0.05072,-0.1486,0.36384,1.96013,-0.47579,-0.18581,-0.00694,1.06651,-0.1055,0.28598,1.10705,-0.61709,0.10864,0.65702,-0.52172,0.72251,0.50332,1.56577,-0.26219,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.53559,-0.42008,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.35166,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
3.41061,4.27355,-0.32047,2.11551,2.93152,1.10661,1.1778,-0.35203,0.06749,-0.1453,2.17146,0.64698,5.49394,3.48095,-0.1484,-0.24741,1.26508,2.23415,6.40447,0.30696,1.94957,-0.18434,-0.23784,3.47374,2.27338,1.72364,-0.2212,1.11391,-0.47288,-0.41097,-0.10074,-0.23532,0.42703,-0.29901,2.42946,2.42268,0.14449,2.14586,3.10251,2.46119,1.73426,2.71224,0.45384,-0.1486,0.7999,0.40356,-0.47579,-0.18581,2.52415,1.30227,-0.1055,1.94478,1.77243,-0.00249,2.01464,-0.54686,-0.80044,1.36941,3.04681,0.85794,4.20223,1
0.32822,0.41623,0.56142,-0.03792,-0.27599,-0.44691,-0.18585,1.18164,0.06749,-0.35612,0.02553,-0.18906,-0.31383,-0.02391,0.58969,1.13468,-0.35502,0.05543,-0.26055,-0.42989,0.03011,-0.18434,-0.23784,-0.04044,0.08862,-0.03508,-0.2212,0.79857,-0.47288,0.22009,-0.10074,-0.23532,0.18506,-0.29901,0.06681,0.13998,-0.36857,-0.08056,-0.19516,-0.06614,0.20882,-0.08266,0.81424,-0.1486,1.09061,-0.37473,0.34133,-0.18581,-0.01931,-0.0298,-0.10021,-0.06948,-0.11817,0.48846,0.04152,0.51538,1.42926,0.35427,-0.12776,-0.12453,0.40093,1
