$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
-0.00667,1.96352,0.87635,0.05766,-0.13792,0.43649,-0.25872,2.4061,0.00495,2.26087,-0.64469,-0.09532,-0.27508,0.36684,-0.13433,-0.19164,-0.27888,-0.22271,-0.22427,0.55296,-1.26202,-0.2041,-0.16536,0.0532,-0.26168,-0.23159,-0.28154,0.01969,0.73358,0.10356,-0.16977,-0.22148,-0.14891,-0.23447,-0.25008,1.12374,1.74396,0.70443,-0.58044,0.19491,-0.01077,-0.0913,-0.19858,-0.65701,-0.02774,-0.37123,0.57407,-0.17081,-0.30589,-0.82192,-0.16366,-0.3307,-0.50763,-0.4765,0.85583,1.18181,-0.00487,0.4059,-0.16681,-0.4987,1.85074,0
-0.4071,-0.29476,-0.35747,2.73319,-0.13792,-0.37951,2.56323,-0.28796,-0.38631,-0.29978,2.49698,-0.09532,-0.27508,-0.38916,-0.13433,1.61968,1.93082,-0.45252,-0.22427,-0.34094,0.84467,-0.2041,-0.16536,0.03056,0.85586,0.0051,-0.28154,-0.60529,-0.61748,0.02537,-0.16977,-0.22148,-0.23889,-0.23447,-0.22034,0.07456,-0.31166,0.50019,0.77581,-0.32065,0.38252,-0.11276,-0.19858,3.01121,-0.19597,1.964,-0.36959,-0.17081,0.30802,0.88283,0.4917,2.77874,0.41754,0.19567,-0.01319,-0.30425,-0.64331,0.03354,0.41783,0.38399,-0.30277,1
-0.00667,-0.29476,-0.35747,-0.61123,-0.13792,-0.37951,-0.28132,-0.28796,-0.38631,-0.29978,-0.90203,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,-0.27888,-0.48535,-0.22427,-0.34094,-1.28905,-0.2041,-0.16536,-0.42686,-0.58097,-0.32802,-0.28154,-0.60529,-0.61748,-0.20923,-0.16977,-0.22148,-0.23889,-0.23447,-0.47307,-0.34716,-0.31166,-0.42756,-0.58044,-0.32065,-0.40406,-0.47399,-0.29694,-0.65701,-0.19597,-0.37123,-0.36959,-0.17081,-0.61588,-1.34205,-0.83212,-0.58982,-0.50763,-0.74585,-0.38756,-0.30425,-0.64331,-0.53142,-0.50638,-1.23969,-0.30277,1
-0.4071,-0.20856,2.44945,0.3921,-0.13792,0.43649,-0.14697,-0.11791,2.72078,-0.08417,0.93996,-0.09532,-0.27508,0.3523,-0.13433,-0.19164,1.93082,-0.02572,-0.22427,0.55296,0.80533,-0.2041,-0.16536,0.4925,-0.58097,-0.14392,-0.28154,0.64468,-0.61748,0.49455,-0.16977,-0.22148,0.06105,-0.23447,-0.27981,-0.07236,-0.15675,-0.08204,-0.58044,0.20759,0.18587,-0.10918,0.48998,0.41289,0.47696,0.79639,0.55592,-0.17081,1.84582,0.94617,0.5048,0.18754,-0.50763,0.19567,-0.33347,0.1911,1.01663,1.6602,0.40898,0.97658,-0.16174,0
-0.4071,-0.29476,0.16694,0.22488,-0.13792,-0.37951,0.15713,-0.28796,1.57384,-0.29978,0.49697,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,1.93082,0.1056,-0.22427,-0.34094,0.78135,-0.2041,0.97462,-0.42686,-0.26168,-0.04311,2.53691,0.64468,-0.61748,0.57275,-0.16977,-0.22148,0.06105,4.76464,-0.02708,-0.34716,-0.31166,-0.18365,1.67255,-0.32065,0.38252,-0.11276,0.78507,0.26005,-0.3642,0.79639,-0.36959,-0.17081,2.16797,0.64971,2.64781,0.18754,1.08758,0.82678,-0.2545,0.90661,0.76126,0.74808,0.09598,0.43167,-0.30277,0
-0.4071,-0.29476,-0.35747,-0.27679,-0.13792,-0.37951,-0.24701,-0.28796,-0.38631,-0.29978,6e-05,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,-0.27888,-0.45252,-0.22427,-0.34094,0.75672,-0.2041,-0.16536,-0.42686,-0.58097,-0.32363,-0.28154,-0.50113,-0.61748,-0.28743,-0.16977,-0.22148,-0.23222,-0.23447,-0.42847,-0.34716,-0.31166,-0.42756,-0.58044,-0.32065,-0.46961,-0.47399,-0.49368,-0.35132,-0.53243,-0.37123,-0.36959,-0.17081,-0.61588,0.3988,-0.83212,-0.3307,-0.50763,-0.74585,-0.38756,-0.79961,-0.38793,-0.53142,-0.50638,-0.06315,-0.30277,0
-0.4071,-0.29476,-0.35747,0.05766,-0.13792,0.43649,-0.14861,-0.28796,-0.38631,6.21273,1.23067,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,-0.27888,-0.22271,-0.22427,0.55296,0.82098,-0.2041,-0.16536,0.94539,-0.26168,-0.21844,0.12109,-0.60529,0.73358,-0.13103,-0.16977,-0.22148,-0.23889,-0.23447,-0.29468,3.58136,5.13939,2.98641,1.22195,-0.32065,-0.20742,0.97808,-0.39531,0.87142,-0.3642,-0.37123,-0.36959,-0.17081,0.61193,1.11672,0.4917,0.44666,4.75796,0.19567,3.47484,0.13606,-0.64331,2.84687,0.70721,1.39438,-0.30277,0
-0.4071,-0.29476,-0.01879,-0.61123,-0.13792,-0.37951,-0.28132,-0.28796,0.38854,-0.29978,-0.90203,-0.09532,-0.27508,-0.38916,-0.13433,0.26119,-0.27888,-0.3212,-0.22427,-0.34094,-1.28905,-0.2041,-0.16536,-0.42686,-0.58097,-0.25789,-0.28154,-0.50113,-0.61748,-0.13103,-0.16977,-0.22148,-0.23222,-0.23447,-0.39874,-0.34716,-0.31166,-0.25775,-0.58044,-0.32065,-0.33852,-0.47399,-0.49368,-0.50417,-0.53243,-0.37123,-0.36959,-0.17081,-0.00197,-1.34205,0.51791,-0.50344,-0.50763,0.19567,-0.38756,0.96165,-0.38793,-0.24375,-0.20815,-1.23969,-0.30277,0
-0.00667,-0.29476,-0.35747,0.22488,-0.13792,0.43649,-0.19905,-0.28796,-0.38631,-0.29978,1.10702,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,1.93082,-0.41969,-0.22427,-0.34094,0.80682,-0.2041,-0.16536,-0.42686,-0.58097,-0.28857,-0.28154,-0.50113,-0.61748,-0.28743,-0.16977,-0.22148,-0.23222,-0.23447,-0.35414,-0.34716,-0.03459,-0.19576,-0.58044,-0.32065,-0.46961,-0.11276,-0.29694,0.41289,-0.53243,0.79639,-0.36959,-0.17081,-0.61588,0.86579,-0.83212,0.18754,-0.50763,-0.74585,-0.31887,-0.79961,-0.51562,-0.53142,0.09008,0.81688,-0.30277,0
-0.4071,-0.29476,-0.35747,-0.27679,-0.13792,-0.37951,-0.15749,-0.28796,-0.38631,-0.29978,-0.55274,-0.09532,-0.27508,-0.38916,-0.13433,-0.19164,-0.27888,-0.41969,-0.22427,-0.34094,-1.27782,-0.2041,-0.16536,-0.42686,-0.42133,-0.17461,-0.28154,-0.39697,-0.61748,-0.28743,-0.16977,2.89997,-0.22222,-0.23447,-0.35414,-0.34716,-0.31166,-0.42756,0.77135,-0.32065,-0.40406,0.25562,-0.19858,-0.04564,-0.02774,-0.37123,-0.36959,1.00388,0.30498,-1.29812,1.23225,-0.3307,0.0097,0.46502,-0.15064,-0.79961,-0.26024,-0.2603,-0.50638,-1.23387,-0.30277,0
